ClientId,LIM001,LIM002,LIM003,LIM004,LIM005,LIM006,timestamp
APPC12,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
ADKC09,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
ABDD99,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
ABCS12,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
ABDD90,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
ABBD91,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
ADDL87,0,0,0,0,0,0,2024-06-14 12:00:00
ADDE98,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
ACVD53,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
ACDT32,0,0,0,0,0,0,2024-06-14 12:00:00
ACDR21,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
ADVF33,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
ADFF22,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
ADCC12,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
IYQR09,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
JZPQ10,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
FZUS06,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
GYTR07,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
HZRS08,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
AWXZ01,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
BYWX02,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
CYZX03,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
DZVU04,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
EYVT05,100000000,100000000,100000000,100000000,100000000,100000000,2024-06-14 12:00:00
