symbol,price,name,timestamp
AMZN,184.28,"Amazon.com, Inc.",2024-06-13 12:00:00
TSLA,183.85,"Tesla, Inc.",2024-06-13 12:00:00
META,504.5512,"Meta Platforms, Inc.",2024-06-13 12:00:00
AMD,160.345,"Advanced Micro Devices, Inc.",2024-06-13 12:00:00
NFLX,652.48,"Netflix, Inc.",2024-06-13 12:00:00
CSCO,45.455,"Cisco Systems, Inc.",2024-06-13 12:00:00
CRM,230.35,"Salesforce, Inc.",2024-06-13 12:00:00
PYPL,61.72,"PayPal Holdings, Inc.",2024-06-13 12:00:00
CRWD,383.62,"CrowdStrike Holdings, Inc.",2024-06-13 12:00:00
UBER,70.87,"Uber Technologies, Inc.",2024-06-13 12:00:00
MRNA,145.39,"Moderna, Inc.",2024-06-13 12:00:00
ROKU,54.13,"Roku, Inc.",2024-06-13 12:00:00
ZM,58.3006,"Zoom Video Communications, Inc.",2024-06-13 12:00:00
COIN,244.2,"Coinbase Global, Inc.",2024-06-13 12:00:00
HOOD,23.3199,"Robinhood Markets, Inc.",2024-06-13 12:00:00
SQ,62.63,"Block, Inc.",2024-06-13 12:00:00
AAPL,213.67,"Apple Inc.",2024-06-13 12:00:00
NVDA,129.58,"NVIDIA Corporation",2024-06-13 12:00:00
