symbol,price,name,timestamp
AMZN,187.11,"Amazon.com, Inc.",2024-06-12 12:00:00
TSLA,177.32,"Tesla, Inc.",2024-06-12 12:00:00
META,509.4477,"Meta Platforms, Inc.",2024-06-12 12:00:00
AMD,160.66,"Advanced Micro Devices, Inc.",2024-06-12 12:00:00
NFLX,650.09,"Netflix, Inc.",2024-06-12 12:00:00
CSCO,45.63,"Cisco Systems, Inc.",2024-06-12 12:00:00
CRM,235.99,"Salesforce, Inc.",2024-06-12 12:00:00
PYPL,63.35,"PayPal Holdings, Inc.",2024-06-12 12:00:00
CRWD,387.55,"CrowdStrike Holdings, Inc.",2024-06-12 12:00:00
UBER,73.385,"Uber Technologies, Inc.",2024-06-12 12:00:00
MRNA,148.11,"Moderna, Inc.",2024-06-12 12:00:00
ROKU,56.37,"Roku, Inc.",2024-06-12 12:00:00
ZM,60.585,"Zoom Video Communications, Inc.",2024-06-12 12:00:00
COIN,255.0,"Coinbase Global, Inc.",2024-06-12 12:00:00
HOOD,23.745,"Robinhood Markets, Inc.",2024-06-12 12:00:00
SQ,64.6,"Block, Inc.",2024-06-12 12:00:00
AAPL,213.5301,"Apple Inc.",2024-06-12 12:00:00
NVDA,125.61,"NVIDIA Corporation",2024-06-12 12:00:00
