TradeDate,TradeTime,ClientCode,ClientTradeId,Symbol,Price,Quantity,Broker,Way,Trader,SecurityType,Currency,Exchange
20240610,11:49:31,ABBD91,17,UBER,70.125,555,JPMORGAN,B,jlin2589,stock,USD,NYSE
20240610,13:12:32,ABBD91,18,ZM,57.62,670,OTHER,B,jlin2589,stock,USD,NASDAQ
20240610,07:01:46,ABBD91,19,NFLX,669.0,106,FIDELITY,B,tbrad9452,stock,USD,NASDAQ
20240610,10:18:22,ABBD91,20,HOOD,22.44,156,JPMORGAN,S,jlin2589,stock,USD,NASDAQ
20240610,11:18:47,ABBD91,21,PYPL,60.41,914,JPMORGAN,S,tbrad9452,stock,USD,NASDAQ
20240610,10:40:37,ABBD91,22,TSLA,177.88,360,BROKERTEK,B,tbrad9452,stock,USD,NASDAQ
20240610,15:15:54,ABBD91,23,TSLA,177.88,168,OTHER,B,tbrad9452,stock,USD,NASDAQ
20240610,08:13:18,ABBD91,24,CSCO,45.605,521,JPMORGAN,S,jlin2589,stock,USD,NASDAQ
20240610,07:04:46,ABBD91,25,CSCO,45.605,159,BNP,S,tbrad9452,stock,USD,NASDAQ
20240610,13:11:45,ABBD91,26,CRWD,385.6,728,OTHER,S,jlin2589,stock,USD,NASDAQ
20240610,10:35:11,ABBD91,27,NVDA,131.795,638,FIDELITY,S,jlin2589,stock,USD,NASDAQ
20240610,14:36:20,ABBD91,28,META,503.68,500,BNP,S,jlin2589,stock,USD,NASDAQ
20240610,09:53:09,ABBD91,29,AMZN,183.025,650,JPMORGAN,B,jlin2589,stock,USD,NASDAQ
20240610,07:31:40,ABBD91,30,COIN,242.07,839,OTHER,B,trader2,stock,USD,NASDAQ
20240610,11:36:04,ABBD91,31,NFLX,669.0,628,OTHER,S,tbrad9452,stock,USD,NASDAQ
